LocalAuthority,WardName,ONSCode,TotalVotes,ANSTEE_COUNT,ASLAM_COUNT,BROPHY_COUNT,BURNHAM_COUNT,FARMER_COUNT,MORRIS_COUNT,ODZE_COUNT,PATTERSON_COUNT,WinCandVotes,WinningCandidate,SecondMostVotes,Difference,PercDifference,PERC_DIFFERENCE,PERC_DIFFERENCE_SQ,PERC_DIFFERENCE_ORDER_TEN,COLOUR,Want of Official Mark,More than 1 Vote 1st Pref,Identifying Mark,Unmarked or Void,TOTAL REJECTED,TOTAL VOTES EXC. REJ,ANSTEE_PERC,ASLAM_PERC,BROPHY_PERC,BURNHAM_PERC,FARMER_PERC,MORRIS_PERC,ODZE_PERC,PATTERSON_PERC
TAMESIDE,Stalybridge North,E05000817,2125,651,6,97,1175,22,56,44,56,1175,4,651,524,0.57,57.39,3293.98,573.93,,0,12,0,6,18,2107,30.9,0.3,4.6,55.8,1.0,2.7,2.1,2.7
TAMESIDE,Stalybridge South,E05000818,2353,840,6,139,1167,16,52,28,61,1167,4,840,327,0.33,32.59,1061.84,325.86,,0,27,1,16,44,2309,36.4,0.3,6.0,50.5,0.7,2.3,1.2,2.6
TRAFFORD,Altrincham,E05000819,3215,1093,7,320,1528,11,34,35,165,1528,4,1093,435,0.33,33.19,1101.80,331.93,,0,15,2,5,22,3193,34.2,0.2,10.0,47.9,0.3,1.1,1.1,5.2
TRAFFORD,Ashton Upon Mersey,E05000820,3078,1106,0,242,1580,11,39,19,66,1580,4,1106,474,0.35,35.29,1245.67,352.94,,0,10,1,4,15,3063,36.1,0.0,7.9,51.6,0.4,1.3,0.6,2.2
TRAFFORD,Bowdon,E05000821,3066,1680,13,238,1034,17,14,16,34,1680,1,1034,646,0.48,47.61,2266.24,476.05,,0,10,1,9,20,3046,55.2,0.4,7.8,33.9,0.6,0.5,0.5,1.1
TRAFFORD,Broadheath,E05000822,4366,1510,26,309,2318,23,32,38,62,2318,4,1510,808,0.42,42.22,1782.13,422.15,,0,13,0,35,48,4318,35.0,0.6,7.2,53.7,0.5,0.7,0.9,1.4
TRAFFORD,Brooklands (TRA),E05000823,3411,1194,11,299,1713,23,44,24,67,1713,4,1194,519,0.36,35.71,1274.98,357.07,,0,32,0,4,36,3375,35.4,0.3,8.9,50.8,0.7,1.3,0.7,2.0
TRAFFORD,Hale Barns,E05000830,2763,1388,26,248,981,10,33,22,27,1388,1,981,407,0.34,34.36,1180.64,343.60,,0,20,1,7,28,2735,50.7,1.0,9.1,35.9,0.4,1.2,0.8,1.0
TRAFFORD,Hale Central,E05000831,2997,1165,5,251,1466,6,24,11,49,1466,4,1165,301,0.23,22.88,523.54,228.81,,0,14,0,6,20,2977,39.1,0.2,8.4,49.2,0.2,0.8,0.4,1.6
TRAFFORD,St Marys (TRA),E05000834,2981,1220,16,195,1411,13,36,25,38,1411,4,1220,191,0.15,14.52,210.81,145.19,,0,14,2,11,27,2954,41.3,0.5,6.6,47.8,0.4,1.2,0.8,1.3
TRAFFORD,Timperley,E05000837,3736,1053,1,921,1609,14,39,33,46,1609,4,1053,556,0.42,41.77,1744.99,417.73,,0,11,0,9,20,3716,28.3,0.0,24.8,43.3,0.4,1.0,0.9,1.2
TRAFFORD,Village,E05000839,2768,863,11,527,1232,11,29,37,36,1232,4,863,369,0.35,35.23,1240.92,352.27,,0,14,0,8,22,2746,31.4,0.4,19.2,44.9,0.4,1.1,1.3,1.3
TRAFFORD,Bucklow-St Martins,E05000824,1893,582,2,90,1055,11,38,56,42,1055,4,582,473,0.58,57.79,3339.53,577.89,,0,16,0,1,17,1876,31.0,0.1,4.8,56.2,0.6,2.0,3.0,2.2
TRAFFORD,Clifford,E05000825,3013,168,80,91,2484,13,15,18,104,2484,4,168,2316,1.75,174.66,30506.34,1746.61,,0,34,1,5,40,2973,5.7,2.7,3.1,83.6,0.4,0.5,0.6,3.5
TRAFFORD,Davyhulme East,E05000826,2766,830,9,148,1602,9,50,33,56,1602,4,830,772,0.63,63.49,4030.58,634.87,,0,20,0,9,29,2737,30.3,0.3,5.4,58.5,0.3,1.8,1.2,2.0
TRAFFORD,Davyhulme West,E05000827,2795,868,5,171,1558,11,65,44,56,1558,4,868,690,0.57,56.88,3235.76,568.84,,0,13,0,4,17,2778,31.2,0.2,6.2,56.1,0.4,2.3,1.6,2.0
TRAFFORD,Flixton,E05000828,3431,718,3,275,2196,24,60,47,71,2196,4,718,1478,1.01,101.44,10290.34,1014.41,,0,23,2,12,37,3394,21.2,0.1,8.1,64.7,0.7,1.8,1.4,2.1
TRAFFORD,Gorse Hill,E05000829,2489,447,17,126,1719,16,39,42,63,1719,4,447,1272,1.17,117.45,13794.86,1174.52,,0,13,0,7,20,2469,18.1,0.7,5.1,69.6,0.6,1.6,1.7,2.6
TRAFFORD,Longford,E05000832,3348,486,85,142,2427,8,33,17,103,2427,4,486,1941,1.33,133.26,17759.47,1332.65,,0,30,3,14,47,3301,14.7,2.6,4.3,73.5,0.2,1.0,0.5,3.1
TRAFFORD,Priory,E05000833,3214,846,5,249,1930,10,46,27,83,1930,4,846,1084,0.78,78.10,6099.29,780.98,,0,11,0,7,18,3196,26.5,0.2,7.8,60.4,0.3,1.4,0.8,2.6
TRAFFORD,Sale Moor,E05000835,2666,772,6,203,1535,6,52,20,56,1535,4,772,763,0.66,66.15,4375.36,661.47,,0,11,0,5,16,2650,29.1,0.2,7.7,57.9,0.2,2.0,0.8,2.1
TRAFFORD,Stretford,E05000836,2931,494,20,129,2048,14,52,34,107,2048,4,494,1554,1.22,122.27,14948.96,1222.66,,0,20,2,11,33,2898,17.0,0.7,4.5,70.7,0.5,1.8,1.2,3.7
TRAFFORD,Urmston,E05000838,3275,779,6,185,2066,22,71,31,81,2066,4,779,1287,0.90,90.47,8185.64,904.75,,0,25,1,8,34,3241,24.0,0.2,5.7,63.7,0.7,2.2,1.0,2.5
WIGAN,Astley Mosley Common,E05000843,2990,646,2,92,2029,14,77,57,44,2029,4,646,1383,1.03,103.40,10691.95,1034.02,,1,28,0,0,29,2961,21.8,0.1,3.1,68.5,0.5,2.6,1.9,1.5
WIGAN,Atherleigh,E05000844,2287,373,2,64,1692,12,43,33,42,1692,4,373,1319,1.28,127.75,16319.60,1277.48,,0,22,0,4,26,2261,16.5,0.1,2.8,74.8,0.5,1.9,1.5,1.9
WIGAN,Atherton,E05000845,2792,477,10,62,1974,36,69,67,49,1974,4,477,1497,1.22,122.15,14921.65,1221.54,,0,43,0,5,48,2744,17.4,0.4,2.3,71.9,1.3,2.5,2.4,1.8
WIGAN,Golborne and Lowton West,E05000848,2483,252,2,72,2023,16,24,32,32,2023,4,252,1771,1.56,155.69,24240.09,1556.92,,0,28,0,2,30,2453,10.3,0.1,2.9,82.5,0.7,1.0,1.3,1.3
WIGAN,Leigh East,E05000852,2539,304,7,48,2036,7,27,36,46,2036,4,304,1732,1.48,148.03,21914.12,1480.34,,0,23,1,4,28,2511,12.1,0.3,1.9,81.1,0.3,1.1,1.4,1.8
WIGAN,Leigh South,E05000853,3269,536,3,84,2439,11,52,78,43,2439,4,536,1903,1.28,127.93,16366.79,1279.33,,0,16,0,7,23,3246,16.5,0.1,2.6,75.1,0.3,1.6,2.4,1.3
WIGAN,Leigh West,E05000854,2524,242,7,66,1964,20,50,86,53,1964,4,242,1722,1.56,156.12,24373.35,1561.20,,0,30,0,6,36,2488,9.7,0.3,2.7,78.9,0.8,2.0,3.5,2.1
WIGAN,Lowton East,E05000855,3492,861,0,57,2450,7,21,29,43,2450,4,861,1589,0.96,95.98,9212.75,959.83,,3,21,0,0,24,3468,24.8,0.0,1.6,70.6,0.2,0.6,0.8,1.2
