,LocalAuthority,WardName,ONSCode,TotalVotes,ANSTEE_COUNT,ASLAM_COUNT,BROPHY_COUNT,BURNHAM_COUNT,FARMER_COUNT,MORRIS_COUNT,ODZE_COUNT,PATTERSON_COUNT,WinCandVotes,WinningCandidate,SecondMostVotes,Difference,PercDifference,PERC_DIFFERENCE,PERC_DIFFERENCE_SQ,PERC_DIFFERENCE_ORDER_TEN,PERC_DIFFERENCE_ORDER_100,COLOUR,Want of Official Mark,More than 1 Vote 1st Pref,Identifying Mark,Unmarked or Void,TOTAL REJECTED,TOTAL VOTES EXC. REJ,ANSTEE_PERC,ASLAM_PERC,BROPHY_PERC,BURNHAM_PERC,FARMER_PERC,MORRIS_PERC,ODZE_PERC,PATTERSON_PERC
30,BURY,Holyrood,E05000674,3198,1985,594,11,349,18,86,55,76,1985,1,594,1391,1.08,107.87,11636.21,1078.71,10787.1,#0087DC,0,14,0,10,24,3174,62.5,18.7,0.3,11,0.6,2.7,1.7,2.4
31,BURY,Pilkington Park,E05000677,2806,1054,14,101,1478,10,49,28,44,1478,4,1054,424,0.33,33.49,1121.67,334.91,3349.1,#F77D7D,0,18,0,10,28,2778,37.9,0.5,3.6,53.2,0.4,1.8,1,1.6
32,BURY,Radcliffe East,E05000678,2234,546,17,111,1299,18,106,58,54,1299,4,546,753,0.82,81.63,6662.81,816.26,8162.6,#EB5353,0,19,1,5,25,2209,24.7,0.8,5,58.8,0.8,4.8,2.6,2.4
33,BURY,Radcliffe North,E05000679,2491,785,9,84,1375,20,107,46,35,1375,4,785,590,0.55,54.63,2984.4,546.3,5463.0,#F26B6B,0,17,0,13,30,2461,31.9,0.4,3.4,55.9,0.8,4.3,1.9,1.4
34,BURY,Radcliffe West,E05000680,1951,500,8,58,1198,18,61,54,33,1198,4,500,698,0.82,82.21,6759.2,822.14,8221.4,#EB5252,0,19,0,2,21,1930,25.9,0.4,3,62.1,0.9,3.2,2.8,1.7
35,BURY,Sedgley,E05000684,2985,858,35,133,1707,19,53,79,75,1707,4,858,849,0.66,66.2,4382.29,661.99,6619.9,#EF6161,0,15,0,11,26,2959,29,1.2,4.5,57.7,0.6,1.8,2.7,2.5
36,BURY,St Marys (BRY),E05000683,2841,601,16,247,1803,15,45,24,60,1803,4,601,1202,1,100,10000,1000,10000.0,#E74343,0,22,0,8,30,2811,21.4,0.6,8.8,64.1,0.5,1.6,0.9,2.1
37,BURY,Unsworth,E05000686,2459,768,5,87,1392,12,113,30,28,1392,4,768,624,0.58,57.78,3338.27,577.78,5777.8,#F16868,0,20,1,3,24,2435,31.5,0.2,3.6,57.2,0.5,4.6,1.2,1.1
38,MANCHESTER,Ardwick,E05000688,2547,207,74,124,1926,19,21,26,93,1926,4,207,1719,1.61,161.18,25979.45,1611.81,16118.1,#D90F0F,0,46,0,11,57,2490,8.3,3,5,77.3,0.8,0.8,1,3.7
39,MANCHESTER,Charlestown,E05000693,2375,319,19,79,1653,25,74,91,56,1653,4,319,1334,1.35,135.29,18304.5,1352.94,13529.4,#DF2525,0,47,1,11,59,2316,13.8,0.8,3.4,71.4,1.1,3.2,3.9,2.4
40,MANCHESTER,Didsbury East,E05000699,4330,596,16,371,3181,33,24,17,52,3181,4,596,2585,1.37,136.88,18736.44,1368.81,13688.1,#DE2323,0,24,1,15,40,4290,13.9,0.4,8.6,74.1,0.8,0.6,0.4,1.2
41,MANCHESTER,Higher Blackley,E05000705,2449,330,24,115,1681,17,78,88,74,1681,4,330,1351,1.34,134.36,18052.88,1343.61,13436.1,#DF2525,0,28,1,13,42,2407,13.7,1,4.8,69.8,0.7,3.2,3.7,3.1
42,MANCHESTER,Hulme,E05000706,2696,199,28,183,1985,18,13,25,214,1985,4,214,1771,1.61,161.07,25944.58,1610.73,16107.3,#D90F0F,0,14,1,16,31,2665,7.5,1.1,6.9,74.5,0.7,0.5,0.9,8
43,MANCHESTER,Moss Side,E05000710,3821,173,102,153,3089,26,12,22,161,3089,4,173,2916,1.79,178.79,31964.44,1787.86,17878.6,#D50000,0,53,0,30,83,3738,4.6,2.7,4.1,82.6,0.7,0.3,0.6,4.3
44,MANCHESTER,Northenden,E05000712,2747,479,15,173,1831,17,60,60,88,1831,4,479,1352,1.17,117.06,13702.17,1170.56,11705.6,#E33434,0,20,0,4,24,2723,17.6,0.6,6.4,67.2,0.6,2.2,2.2,3.2
45,MANCHESTER,Withington,E05000717,2807,215,20,346,1995,7,19,14,166,1995,4,346,1649,1.41,140.88,19847.16,1408.8,14088.0,#DD2020,0,20,0,5,25,2782,7.7,0.7,12.4,71.7,0.3,0.7,0.5,6
46,MANCHESTER,Fallowfield,E05000701,2677,175,91,209,1978,14,20,31,125,1978,4,209,1769,1.62,161.77,26170.87,1617.74,16177.4,#D80E0E,0,23,0,11,34,2643,6.6,3.4,7.9,74.8,0.5,0.8,1.2,4.7
47,MANCHESTER,Gorton North,E05000702,2907,280,57,329,1909,25,67,94,82,1909,4,329,1580,1.41,141.2,19936.73,1411.97,14119.7,#DD2020,0,46,1,17,64,2843,9.8,2,11.6,67.1,0.9,2.4,3.3,2.9
48,MANCHESTER,Gorton South,E05000703,4097,288,88,348,2980,72,51,102,117,2980,4,348,2632,1.58,158.17,25018.72,1581.73,15817.3,#D91111,0,33,0,18,51,4046,7.1,2.2,8.6,73.7,1.8,1.3,2.5,2.9
49,MANCHESTER,Levenshulme,E05000707,3863,256,94,383,2776,24,34,38,213,2776,4,383,2393,1.52,151.5,22953.35,1515.04,15150.4,#DB1717,0,32,0,13,45,3818,6.7,2.5,10,72.7,0.6,0.9,1,5.6
50,MANCHESTER,Longsight,E05000708,3587,138,229,262,2739,9,20,20,100,2739,4,262,2477,1.65,165.08,27250.85,1650.78,16507.8,#D80B0B,0,60,0,10,70,3517,3.9,6.5,7.4,77.9,0.3,0.6,0.6,2.8
